microcosm,n
37,3
38,3
39,3
40,5
41,6
42,6
43,5
44,0
45,4
46,2
47,3
48,2
49,3
50,3
51,3
52,6
53,5
54,5
55,12
56,7
57,4
58,4
59,3
60,3
61,3
62,3
63,3
64,8
65,6
66,6
67,4
68,7
69,5
70,3
71,3
72,4
73,2
74,3
75,3
76,6
77,6
78,6
79,6
80,6
81,6
82,5
83,4
84,4
85,4
86,4
87,4
88,8
89,10
90,10
91,6
92,6
93,6
94,6
95,4
96,5
